2026-06-16 13:43:48,312 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660423.pdf
2026-06-16 13:43:48,436 | INFO | 搬檔成功
2026-06-16 13:43:48,500 | INFO | Excel寫入成功
2026-06-16 13:43:48,500 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660575.pdf
2026-06-16 13:43:48,586 | INFO | 搬檔成功
2026-06-16 13:43:48,645 | INFO | Excel寫入成功
2026-06-16 13:43:48,645 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660577.pdf
2026-06-16 13:43:48,744 | INFO | 搬檔成功
2026-06-16 13:43:48,781 | INFO | Excel寫入成功
2026-06-16 13:43:48,782 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660752.pdf
2026-06-16 13:43:48,914 | INFO | 搬檔成功
2026-06-16 13:43:48,951 | INFO | Excel寫入成功
2026-06-16 13:43:48,951 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660890.pdf
2026-06-16 13:43:49,039 | INFO | 搬檔成功
2026-06-16 13:43:49,202 | INFO | Excel寫入成功
2026-06-16 13:43:49,202 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153760637.pdf
2026-06-16 13:43:52,233 | INFO | 搬檔成功
2026-06-16 14:10:44,003 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\052810.pdf
2026-06-16 14:13:05,543 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\052810.pdf
2026-06-16 14:18:37,668 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\052810.pdf
2026-06-16 14:18:40,598 | INFO | 搬檔成功
2026-06-16 14:18:40,706 | INFO | Excel寫入成功
2026-06-16 14:18:40,707 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150010012.pdf
2026-06-16 14:18:43,671 | INFO | 搬檔成功
2026-06-16 14:18:43,777 | INFO | Excel寫入成功
2026-06-16 14:18:43,778 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020016.pdf
2026-06-16 14:18:46,705 | INFO | 搬檔成功
2026-06-16 14:18:46,815 | INFO | Excel寫入成功
2026-06-16 14:18:46,816 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020017.pdf
2026-06-16 14:18:49,762 | INFO | 搬檔成功
2026-06-16 14:18:49,861 | INFO | Excel寫入成功
2026-06-16 14:18:49,862 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020018.pdf
2026-06-16 14:18:53,056 | INFO | 搬檔成功
2026-06-16 14:18:53,171 | INFO | Excel寫入成功
2026-06-16 14:18:53,171 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150030025.pdf
2026-06-16 14:18:56,441 | INFO | 搬檔成功
2026-06-16 14:18:56,563 | INFO | Excel寫入成功
2026-06-16 14:18:56,563 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150324001.pdf
2026-06-16 14:18:56,712 | INFO | 搬檔成功
2026-06-16 14:18:57,234 | INFO | Excel寫入成功
2026-06-16 14:18:57,234 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150327002.pdf
2026-06-16 14:18:57,385 | INFO | 搬檔成功
2026-06-16 14:18:57,808 | INFO | Excel寫入成功
2026-06-16 14:18:57,808 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150327003-.pdf
2026-06-16 14:18:58,009 | INFO | 搬檔成功
2026-06-16 14:18:58,488 | INFO | Excel寫入成功
2026-06-16 14:18:58,488 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150327003.pdf
2026-06-16 14:18:58,645 | INFO | 搬檔成功
2026-06-16 14:18:58,860 | INFO | Excel寫入成功
2026-06-16 14:18:58,860 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150526001.pdf
2026-06-16 14:19:02,190 | INFO | 搬檔成功
2026-06-16 14:19:02,264 | INFO | Excel寫入成功
2026-06-16 14:19:02,264 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150601001.pdf
2026-06-16 14:19:04,825 | INFO | 搬檔成功
2026-06-16 14:19:04,900 | INFO | Excel寫入成功
2026-06-16 14:19:04,900 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150601002.pdf
